student_id,gender,parental_education,lunch_type,test_prep_course,weekly_study_hours,attendance_rate,math_score,reading_score,writing_score
50,Female,High School,Free/Reduced,Not Completed,8.0,81.0,70.2,76.5,68.8
51,Male,High School,Free/Reduced,Completed,4.4,80.4,75.7,76.9,80.9
52,Female,Some College,Standard,Not Completed,4.5,91.1,62.2,66.1,52.2
53,Male,Some College,Standard,Completed,7.7,100.0,93.2,92.5,88.8
54,Female,Some College,Free/Reduced,Not Completed,6.1,100.0,90.9,87.1,90.2
55,Male,Bachelor's,Standard,Not Completed,5.9,95.1,60.3,73.9,69.0
56,Female,Master's,Free/Reduced,Not Completed,9.3,94.0,72.8,64.9,64.8
57,Female,Some College,Free/Reduced,Not Completed,3.7,75.6,72.9,66.8,62.0
58,Male,High School,Free/Reduced,Not Completed,6.9,85.7,78.6,68.7,68.9
59,Male,Bachelor's,Standard,Completed,5.1,83.7,85.4,90.5,85.8
60,Male,High School,Standard,Not Completed,5.5,85.0,76.2,73.9,75.6
61,Male,Some College,Free/Reduced,Completed,8.1,88.7,82.3,75.4,86.6
62,Male,High School,Free/Reduced,Not Completed,6.0,86.2,55.5,46.4,48.8
63,Male,High School,Standard,Not Completed,6.1,74.2,74.3,74.9,87.2
64,Male,Master's,Free/Reduced,Not Completed,7.1,96.0,95.3,91.2,92.7
65,Male,Bachelor's,Free/Reduced,Not Completed,4.3,81.4,60.8,63.9,60.0
66,Female,Bachelor's,Standard,Not Completed,3.3,91.9,71.4,73.8,63.6
67,Female,Some College,Standard,Not Completed,2.9,100.0,52.9,43.6,51.2
68,Male,High School,Standard,Not Completed,1.1,82.6,68.6,72.7,65.7
69,Female,High School,Standard,Completed,9.1,69.8,82.4,84.2,87.7
70,Female,High School,Standard,Completed,2.8,87.7,74.1,80.0,75.3
71,Female,Some College,Free/Reduced,Completed,4.6,98.8,97.3,91.6,83.5
72,Female,Bachelor's,Standard,Completed,4.4,100.0,86.0,86.6,82.0
73,Male,Bachelor's,Standard,Not Completed,5.6,80.2,82.1,80.1,81.1
74,Female,High School,Standard,Completed,6.6,94.0,67.5,76.5,77.4
75,Male,Master's,Standard,Not Completed,6.7,86.3,73.3,80.4,82.2
76,Female,Bachelor's,Free/Reduced,Completed,3.8,89.2,77.6,72.3,76.6
77,Female,Some College,Standard,Completed,4.7,100.0,88.6,95.6,84.6
78,Female,Some College,Standard,Not Completed,5.6,78.0,69.0,66.1,63.6
79,Male,Some College,Free/Reduced,Not Completed,4.5,92.0,60.5,66.3,69.7
80,Female,High School,Standard,Not Completed,8.2,93.7,85.0,79.8,79.5
81,Male,Some College,Standard,Not Completed,6.0,98.7,61.5,63.3,68.0
82,Female,Bachelor's,Standard,Not Completed,6.5,90.8,55.3,58.8,53.4
83,Male,High School,Standard,Completed,6.3,92.5,100.0,100.0,100.0
84,Female,High School,Standard,Not Completed,7.3,86.9,86.5,85.7,94.9
85,Male,High School,Standard,Not Completed,5.4,92.2,59.2,56.7,53.0
86,Male,High School,Standard,Not Completed,2.4,87.3,72.3,81.2,61.3
87,Female,Bachelor's,Free/Reduced,Completed,5.8,95.0,75.8,77.6,72.1
88,Male,Bachelor's,Standard,Not Completed,3.7,87.0,68.3,68.3,78.6
89,Female,Some College,Standard,Completed,3.9,93.0,81.5,80.5,83.8
90,Female,High School,Free/Reduced,Completed,6.2,89.8,57.0,67.9,74.0
91,Female,Some College,Standard,Completed,7.5,99.0,75.0,74.0,74.5
92,Female,Some College,Free/Reduced,Not Completed,5.0,89.6,48.4,54.5,50.2
93,Female,High School,Standard,Not Completed,5.6,75.8,60.3,51.8,56.8
94,Female,Some College,Free/Reduced,Not Completed,8.4,100.0,68.0,57.8,59.9
95,Female,Some College,Standard,Not Completed,5.5,82.8,69.4,66.4,78.0
96,Female,Some College,Standard,Not Completed,10.2,84.8,74.7,64.3,70.0
97,Female,Some College,Standard,Completed,6.1,85.2,81.2,71.3,83.0
98,Female,High School,Free/Reduced,Completed,1.5,100.0,98.3,99.9,86.5
99,Female,Some College,Standard,Not Completed,6.5,72.9,63.1,63.9,58.0
100,Male,Some College,Standard,Completed,5.8,100.0,84.9,84.2,84.9
101,Male,Some College,Standard,Not Completed,7.6,98.4,88.9,83.4,88.8
102,Female,Bachelor's,Free/Reduced,Not Completed,6.3,91.8,71.8,71.5,78.3
103,Female,Bachelor's,Standard,Not Completed,4.7,89.6,70.2,82.8,70.6
104,Female,High School,Free/Reduced,Not Completed,2.6,92.3,68.2,80.7,80.7
105,Female,High School,Standard,Not Completed,4.6,94.2,74.2,77.7,77.1
106,Female,Some College,Standard,Not Completed,3.3,95.2,49.4,59.8,58.5
107,Female,High School,Standard,Not Completed,3.8,94.4,86.5,81.3,77.3
108,Female,Some College,Standard,Not Completed,6.2,90.7,81.4,76.0,84.5
109,Female,Master's,Standard,Completed,8.3,88.4,81.9,78.1,81.7
110,Male,Some College,Standard,Not Completed,5.8,88.8,68.3,71.8,61.7
111,Female,Some College,Free/Reduced,Not Completed,2.6,88.4,59.9,66.7,79.0
112,Male,Some College,Standard,Completed,5.9,99.1,81.8,79.4,86.9
113,Female,Some College,Standard,Not Completed,7.4,94.7,78.8,87.9,86.4
114,Female,Some College,Standard,Not Completed,3.8,66.5,86.8,86.8,81.7
115,Male,Master's,Standard,Not Completed,4.7,95.2,62.4,69.5,70.9
116,Female,Some College,Standard,Completed,5.0,91.6,72.0,56.8,62.5
117,Male,Master's,Standard,Not Completed,3.4,89.9,82.8,74.6,80.0
118,Female,Master's,Standard,Not Completed,6.3,86.9,86.9,79.9,87.3
119,Female,High School,Free/Reduced,Completed,4.8,99.0,79.8,78.4,76.1
120,Male,High School,Free/Reduced,Completed,5.8,97.6,90.4,84.2,100.0
121,Female,High School,Standard,Not Completed,3.2,83.8,51.5,54.5,51.6
122,Male,High School,Standard,Completed,4.1,93.3,87.3,93.2,81.0
123,Female,High School,Free/Reduced,Not Completed,6.4,82.2,58.0,55.2,63.5
124,Male,Bachelor's,Standard,Not Completed,4.3,79.0,95.5,76.2,97.4
125,Male,High School,Standard,Completed,8.5,85.0,100.0,100.0,100.0
126,Female,High School,Standard,Not Completed,4.2,96.9,63.8,62.0,56.7
127,Female,Bachelor's,Free/Reduced,Not Completed,5.4,97.6,57.8,61.0,67.3
128,Male,High School,Free/Reduced,Not Completed,6.9,94.1,75.0,77.2,69.4
129,Female,Bachelor's,Standard,Completed,2.2,95.8,74.9,83.1,78.2
130,Female,High School,Standard,Not Completed,1.5,94.1,66.3,69.2,63.1
131,Female,High School,Standard,Completed,1.9,84.9,66.0,67.0,81.2
132,Male,Bachelor's,Free/Reduced,Completed,7.5,93.5,71.2,51.1,55.2
133,Male,Some College,Standard,Not Completed,3.9,96.4,78.3,69.1,62.3
134,Male,Bachelor's,Standard,Completed,10.1,96.0,86.8,82.7,81.4
135,Male,Bachelor's,Free/Reduced,Not Completed,3.9,99.5,65.6,67.7,55.4
136,Male,Bachelor's,Standard,Completed,5.4,95.7,100.0,99.5,100.0
137,Male,High School,Free/Reduced,Not Completed,8.1,92.8,50.9,58.2,45.4
138,Male,High School,Standard,Completed,9.0,98.6,97.6,100.0,97.3
139,Male,Bachelor's,Standard,Not Completed,9.1,89.8,78.0,80.8,66.3
140,Male,Bachelor's,Standard,Not Completed,7.4,82.9,65.2,71.2,69.8
141,Female,Master's,Free/Reduced,Completed,7.0,88.7,93.6,91.0,100.0
142,Male,Some College,Free/Reduced,Completed,6.2,84.0,75.7,74.7,78.3
143,Female,Some College,Free/Reduced,Completed,6.6,84.6,70.5,86.0,75.8
144,Female,Bachelor's,Standard,Not Completed,3.9,88.8,79.2,80.4,83.3
145,Female,High School,Free/Reduced,Completed,3.4,83.7,62.0,64.3,64.2
146,Male,Master's,Standard,Not Completed,5.0,87.5,78.1,68.9,71.0
147,Male,Bachelor's,Standard,Not Completed,4.7,74.9,57.3,52.0,47.7
148,Male,Some College,Free/Reduced,Completed,4.1,91.7,55.7,55.6,65.4
149,Male,Bachelor's,Standard,Not Completed,6.4,90.0,100.0,100.0,98.0
150,Female,Bachelor's,Standard,Not Completed,6.9,83.5,81.4,88.9,86.0
151,Male,High School,Standard,Completed,5.2,95.3,69.6,66.7,61.8
152,Male,Master's,Standard,Completed,8.0,97.5,74.3,74.0,79.8
153,Male,Some College,Standard,Completed,2.7,77.1,74.7,81.3,75.3
154,Male,Bachelor's,Standard,Not Completed,4.6,83.9,84.2,73.1,70.5
155,Male,High School,Standard,Not Completed,3.6,83.8,65.6,80.6,67.1
156,Female,Bachelor's,Free/Reduced,Not Completed,1.3,82.5,50.4,48.7,58.4
157,Male,Some College,Free/Reduced,Not Completed,4.8,96.6,62.9,68.0,65.4
158,Female,High School,Standard,Not Completed,4.8,88.4,78.2,75.4,70.1
159,Male,Master's,Standard,Not Completed,8.0,87.9,74.1,77.7,79.3
160,Female,High School,Standard,Not Completed,6.3,74.0,24.8,41.0,42.4
161,Male,High School,Standard,Completed,3.0,95.1,72.0,80.7,71.7
162,Male,Master's,Standard,Completed,8.7,80.1,79.1,65.3,75.9
163,Female,Master's,Free/Reduced,Completed,7.4,90.5,91.9,88.4,96.8
164,Female,Some College,Standard,Completed,6.2,92.2,100.0,100.0,100.0
165,Female,Some College,Standard,Not Completed,4.5,100.0,75.6,72.8,68.4
166,Male,Some College,Standard,Not Completed,3.1,79.5,65.0,67.3,63.1
167,Female,High School,Standard,Completed,4.3,65.8,69.0,75.4,74.9
168,Male,High School,Free/Reduced,Completed,7.2,91.5,80.7,76.8,81.1
169,Male,Bachelor's,Free/Reduced,Not Completed,8.8,100.0,84.7,82.8,79.8
170,Female,Bachelor's,Standard,Not Completed,8.1,99.9,92.1,100.0,88.6
171,Female,Bachelor's,Free/Reduced,Completed,4.0,91.7,98.3,91.7,100.0
172,Male,Bachelor's,Standard,Not Completed,2.8,86.1,55.7,50.3,59.6
173,Male,High School,Free/Reduced,Completed,5.3,96.5,69.3,89.2,86.0
174,Female,Some College,Free/Reduced,Completed,1.5,82.2,50.2,62.8,46.4
175,Female,High School,Standard,Not Completed,5.6,93.8,81.4,78.6,73.3
176,Female,Some College,Standard,Not Completed,4.7,94.0,55.2,53.9,45.9
177,Male,Some College,Standard,Completed,4.1,98.5,75.3,85.5,71.0
178,Male,Bachelor's,Standard,Not Completed,1.8,100.0,71.9,77.6,74.4
179,Male,Some College,Free/Reduced,Not Completed,6.0,93.1,77.7,82.8,82.0
180,Male,High School,Standard,Not Completed,3.9,85.9,78.6,73.7,76.6
181,Male,High School,Standard,Not Completed,2.7,89.8,46.7,51.3,51.4
182,Male,Bachelor's,Free/Reduced,Not Completed,0.0,75.8,55.4,55.7,53.0
183,Female,Some College,Free/Reduced,Not Completed,4.9,84.4,57.1,55.7,55.1
184,Male,High School,Standard,Not Completed,8.5,86.7,59.6,66.1,62.7
185,Male,High School,Standard,Completed,8.3,85.8,75.7,83.1,70.6
186,Male,Bachelor's,Standard,Completed,4.1,91.2,78.5,72.0,78.9
187,Female,High School,Standard,Completed,3.8,83.4,100.0,100.0,100.0
188,Male,Bachelor's,Free/Reduced,Not Completed,5.9,99.0,68.9,80.7,77.1
189,Male,Bachelor's,Standard,Completed,3.0,90.0,68.3,65.9,66.0
190,Female,High School,Standard,Not Completed,5.6,89.9,62.4,71.4,78.2
191,Male,High School,Standard,Not Completed,6.5,87.4,85.6,77.9,82.9
192,Male,Master's,Standard,Completed,7.5,91.2,100.0,100.0,100.0
193,Male,Some College,Free/Reduced,Not Completed,4.8,96.6,41.4,45.7,44.6
194,Male,Some College,Free/Reduced,Not Completed,4.6,83.1,35.5,31.2,40.0
195,Male,Bachelor's,Standard,Not Completed,3.2,84.7,90.2,93.4,93.9
196,Female,Master's,Standard,Completed,3.3,87.6,82.2,98.7,87.1
197,Female,Master's,Standard,Not Completed,4.5,79.2,70.2,52.3,56.4
198,Female,Bachelor's,Free/Reduced,Not Completed,5.7,83.4,69.5,73.7,74.9
199,Male,Some College,Free/Reduced,Not Completed,6.8,86.2,31.8,37.8,41.9
200,Male,High School,Standard,Not Completed,3.4,97.0,71.5,71.1,72.7
201,Male,Bachelor's,Free/Reduced,Not Completed,8.0,92.1,72.3,77.7,83.1
202,Female,Some College,Free/Reduced,Not Completed,4.5,91.5,74.0,69.4,74.8
203,Male,Some College,Standard,Not Completed,5.0,96.8,62.1,61.7,64.3
204,Male,Master's,Free/Reduced,Not Completed,3.5,88.9,68.7,66.6,71.7
205,Female,High School,Standard,Completed,0.2,93.1,60.5,50.0,56.2
206,Male,Some College,Standard,Not Completed,6.8,89.2,72.8,81.4,77.0
207,Female,High School,Standard,Not Completed,6.5,92.1,54.8,67.1,57.4
208,Female,Some College,Standard,Not Completed,4.4,85.3,63.9,62.6,59.2
209,Female,High School,Standard,Completed,5.1,70.5,67.2,59.5,59.3
210,Male,High School,Free/Reduced,Not Completed,6.0,88.9,74.0,79.2,75.4
211,Male,High School,Standard,Completed,1.9,100.0,88.8,88.8,81.7
212,Male,Some College,Free/Reduced,Not Completed,3.9,97.4,67.0,68.0,68.8
213,Male,Bachelor's,Standard,Completed,6.6,97.7,81.6,86.5,90.8
214,Male,Some College,Standard,Not Completed,2.5,99.9,61.3,59.4,49.3
215,Male,Master's,Standard,Not Completed,5.6,90.7,75.6,76.2,66.9
216,Male,Some College,Standard,Completed,2.3,91.6,82.1,75.0,73.3
217,Female,High School,Free/Reduced,Not Completed,5.9,85.1,92.2,89.5,93.6
218,Male,Bachelor's,Standard,Not Completed,4.9,87.5,68.6,60.9,60.1
219,Female,High School,Standard,Not Completed,1.8,94.9,88.6,80.6,82.9
220,Male,Master's,Standard,Not Completed,7.3,99.6,99.0,93.1,86.2
221,Male,High School,Free/Reduced,Not Completed,3.5,88.9,66.8,61.6,63.7
222,Male,Master's,Free/Reduced,Not Completed,3.4,86.4,88.0,83.9,87.7
223,Female,High School,Free/Reduced,Not Completed,5.4,90.0,76.1,80.7,73.2
224,Female,Bachelor's,Standard,Not Completed,7.3,94.8,84.7,90.7,80.5
225,Female,Some College,Standard,Completed,3.0,78.4,59.9,79.3,78.1
226,Female,Master's,Standard,Not Completed,5.1,71.6,78.9,78.4,74.9
227,Male,High School,Standard,Not Completed,5.9,85.6,81.8,83.1,89.3
228,Female,Some College,Standard,Not Completed,6.4,80.2,62.2,54.2,59.6
229,Male,Master's,Standard,Not Completed,5.4,85.9,59.8,56.7,64.4
230,Male,Some College,Standard,Not Completed,4.3,88.8,72.1,61.4,66.4
231,Female,Some College,Standard,Not Completed,3.3,86.4,46.7,62.6,62.1
232,Female,Bachelor's,Free/Reduced,Completed,5.2,100.0,81.3,78.6,78.6
233,Female,Some College,Standard,Not Completed,2.9,92.6,73.6,88.1,77.2
234,Female,Some College,Standard,Completed,0.0,92.4,69.8,69.0,73.1
235,Female,Some College,Free/Reduced,Completed,5.9,95.0,75.4,87.4,75.3
236,Female,Master's,Standard,Completed,6.8,80.9,86.9,77.4,85.9
237,Female,High School,Free/Reduced,Completed,0.3,98.3,75.1,85.7,85.6
238,Female,High School,Standard,Not Completed,3.0,89.4,46.2,45.5,34.6
239,Male,Master's,Standard,Completed,6.2,95.4,86.9,76.8,84.7
240,Female,Bachelor's,Free/Reduced,Not Completed,9.1,81.4,77.2,79.3,71.3
241,Female,Some College,Free/Reduced,Completed,5.0,77.6,81.8,84.1,81.8
242,Male,Some College,Free/Reduced,Completed,3.5,96.5,70.3,66.3,67.8
243,Female,High School,Standard,Completed,4.6,93.0,52.5,52.0,48.6
244,Male,High School,Standard,Completed,7.7,82.8,90.9,83.0,82.7
245,Male,Some College,Standard,Not Completed,3.7,83.0,65.9,67.9,64.4
246,Female,Some College,Standard,Not Completed,3.4,99.0,62.3,56.9,61.4
247,Male,Some College,Free/Reduced,Not Completed,4.0,80.5,48.6,56.1,51.9
248,Male,High School,Standard,Not Completed,3.1,100.0,70.7,65.0,70.2
249,Male,Master's,Free/Reduced,Completed,5.2,82.8,63.7,66.3,68.7
250,Male,Master's,Standard,Not Completed,8.2,95.1,60.2,62.8,64.2
251,Female,Bachelor's,Standard,Not Completed,5.6,87.4,86.9,77.9,83.6
252,Male,Some College,Standard,Not Completed,4.5,94.8,77.1,84.4,87.6
253,Female,High School,Free/Reduced,Completed,4.4,85.6,72.3,78.3,83.9
254,Male,Bachelor's,Free/Reduced,Completed,1.9,88.7,56.8,58.7,54.3
255,Male,Bachelor's,Free/Reduced,Completed,6.8,90.3,75.9,76.5,85.2
256,Male,High School,Free/Reduced,Completed,4.8,82.0,63.4,71.4,61.8
257,Male,Master's,Free/Reduced,Not Completed,4.6,95.9,82.9,84.4,89.1
258,Female,Bachelor's,Free/Reduced,Not Completed,11.4,85.9,86.2,88.7,83.1
259,Female,Master's,Standard,Not Completed,5.6,88.2,67.4,63.4,67.2
260,Male,Bachelor's,Standard,Not Completed,3.5,82.0,65.8,68.1,60.1
261,Male,Some College,Standard,Not Completed,4.1,69.5,71.2,71.9,63.7
262,Female,Some College,Free/Reduced,Not Completed,7.3,88.5,93.6,89.8,80.1
263,Male,Master's,Free/Reduced,Not Completed,5.2,100.0,82.3,77.9,81.7
264,Male,Bachelor's,Standard,Completed,2.1,96.3,86.6,91.4,89.0
265,Male,High School,Free/Reduced,Completed,6.8,89.8,79.1,66.7,81.4
266,Female,High School,Free/Reduced,Completed,3.7,87.9,85.3,87.4,88.2
267,Female,Some College,Standard,Not Completed,8.7,90.2,79.9,90.0,82.1
268,Female,Bachelor's,Standard,Not Completed,7.2,94.4,72.4,64.0,63.2
269,Male,Master's,Free/Reduced,Completed,4.1,80.6,82.2,87.6,87.3
270,Male,High School,Standard,Not Completed,7.6,98.9,92.4,89.7,94.8
271,Female,Some College,Free/Reduced,Completed,5.1,95.7,70.5,62.4,66.4
272,Female,Some College,Standard,Not Completed,6.7,95.7,67.0,65.9,77.4
273,Female,Master's,Free/Reduced,Completed,6.0,93.5,86.0,89.4,85.2
274,Female,Bachelor's,Free/Reduced,Completed,3.3,90.2,79.9,76.9,80.1
275,Male,Bachelor's,Free/Reduced,Not Completed,3.7,95.4,62.9,70.4,76.9
276,Female,Some College,Standard,Completed,7.1,94.7,94.2,90.5,93.1
277,Male,Some College,Free/Reduced,Completed,4.3,87.2,91.4,93.3,90.7
278,Female,High School,Free/Reduced,Completed,4.2,85.4,85.0,84.2,80.9
279,Male,High School,Standard,Not Completed,3.1,90.8,74.5,68.1,69.5
280,Female,Bachelor's,Free/Reduced,Not Completed,5.8,100.0,80.4,87.3,87.2
281,Female,Bachelor's,Standard,Completed,9.1,80.1,74.2,71.2,76.3
282,Female,Master's,Standard,Not Completed,2.9,78.3,72.6,76.2,74.0
283,Female,Master's,Standard,Not Completed,5.0,91.3,100.0,96.7,100.0
284,Male,Some College,Standard,Completed,7.8,90.4,69.1,78.8,87.9
285,Female,Bachelor's,Standard,Not Completed,4.8,91.4,63.6,59.1,66.0
286,Male,Master's,Free/Reduced,Completed,5.9,92.0,71.3,74.1,75.9
287,Male,Bachelor's,Standard,Completed,2.9,88.2,67.2,61.0,57.5
288,Male,High School,Free/Reduced,Not Completed,5.9,100.0,63.3,55.4,47.8
289,Male,Some College,Standard,Completed,4.6,77.2,64.3,69.1,69.8
290,Female,High School,Standard,Not Completed,7.0,83.4,49.9,54.6,53.0
291,Male,Master's,Standard,Not Completed,7.4,89.2,79.9,84.4,77.9
292,Male,Some College,Free/Reduced,Completed,10.2,76.9,81.9,84.2,87.6
293,Male,High School,Standard,Not Completed,6.2,88.6,64.6,62.4,60.0
294,Female,Bachelor's,Free/Reduced,Completed,5.7,100.0,98.4,100.0,100.0
295,Female,Some College,Free/Reduced,Not Completed,5.4,90.2,57.3,74.0,72.2
296,Female,Some College,Free/Reduced,Not Completed,4.3,91.8,75.2,72.9,73.3
297,Female,High School,Standard,Not Completed,5.7,79.9,53.9,59.9,64.1
298,Male,Bachelor's,Standard,Not Completed,4.4,85.1,73.2,83.2,80.3
299,Male,Some College,Free/Reduced,Completed,5.3,87.0,53.0,59.2,61.8
300,Female,Bachelor's,Standard,Not Completed,7.6,87.5,88.1,77.2,85.2
301,Male,Some College,Free/Reduced,Not Completed,3.0,100.0,74.7,68.9,64.8
302,Male,Bachelor's,Standard,Not Completed,7.3,94.5,87.5,97.0,86.3
303,Male,Some College,Free/Reduced,Not Completed,7.6,81.1,48.2,49.4,51.3
304,Female,Some College,Free/Reduced,Not Completed,4.8,92.0,57.0,51.1,57.2
305,Female,Bachelor's,Free/Reduced,Completed,0.8,94.0,77.2,81.3,78.1
306,Male,Some College,Standard,Completed,3.8,99.1,65.0,70.0,59.3
307,Female,High School,Free/Reduced,Not Completed,7.6,100.0,72.7,84.4,76.3
308,Female,High School,Standard,Not Completed,5.0,81.9,41.6,44.1,54.3
309,Female,Bachelor's,Standard,Not Completed,3.0,83.5,76.6,82.2,77.1
310,Female,Some College,Free/Reduced,Not Completed,4.0,79.9,45.5,47.6,43.4
311,Female,Bachelor's,Free/Reduced,Completed,6.7,88.1,84.9,84.7,90.3
312,Male,High School,Free/Reduced,Completed,6.1,93.7,81.6,85.3,80.1
313,Female,High School,Free/Reduced,Not Completed,4.5,97.9,54.3,64.2,51.3
314,Male,High School,Standard,Completed,4.3,89.4,86.7,88.1,82.9
315,Male,Some College,Standard,Not Completed,4.2,87.4,64.3,65.2,68.5
316,Female,Some College,Free/Reduced,Not Completed,3.2,91.2,60.2,60.4,51.5
317,Male,Some College,Standard,Not Completed,8.2,83.3,55.0,59.7,59.1
318,Male,Some College,Standard,Completed,4.4,100.0,53.8,57.9,60.0
319,Male,Master's,Standard,Not Completed,7.4,77.1,72.3,80.0,79.6
320,Female,High School,Standard,Not Completed,8.0,91.5,53.8,55.6,57.9
321,Female,Some College,Standard,Not Completed,7.0,100.0,83.0,84.1,87.2
322,Male,Bachelor's,Standard,Completed,4.1,90.1,80.1,77.1,75.8
323,Female,Some College,Standard,Not Completed,5.8,88.5,83.6,73.2,80.1
324,Female,Some College,Standard,Not Completed,5.0,87.1,67.8,63.2,62.7
325,Female,Bachelor's,Free/Reduced,Completed,3.2,88.6,64.3,70.7,65.6
326,Female,Master's,Standard,Completed,5.6,100.0,97.0,100.0,95.8
327,Male,High School,Standard,Completed,2.6,72.3,67.4,74.4,68.9
328,Male,Master's,Free/Reduced,Not Completed,7.4,100.0,90.0,79.1,85.2
329,Female,Some College,Standard,Not Completed,4.1,78.6,63.7,82.1,81.5
330,Female,High School,Free/Reduced,Not Completed,5.4,87.9,50.8,47.7,42.8
331,Male,Some College,Free/Reduced,Completed,5.6,86.6,86.1,88.0,79.5
332,Male,Master's,Standard,Completed,4.5,94.7,100.0,92.7,93.2
333,Female,Some College,Standard,Not Completed,6.2,77.2,52.4,57.1,56.5
334,Male,High School,Free/Reduced,Not Completed,4.1,93.7,65.8,66.4,63.5
335,Female,Some College,Free/Reduced,Not Completed,6.7,100.0,82.5,77.2,77.5
336,Female,High School,Standard,Completed,2.3,79.1,64.9,73.3,55.8
337,Male,High School,Free/Reduced,Not Completed,5.3,91.5,62.4,74.4,58.1
338,Male,High School,Standard,Not Completed,8.9,84.7,81.5,89.3,88.4
339,Female,High School,Free/Reduced,Not Completed,3.0,93.4,79.9,73.5,81.8
340,Female,High School,Standard,Not Completed,3.6,90.2,42.8,53.9,44.4
341,Male,High School,Free/Reduced,Not Completed,6.0,84.9,70.1,76.6,56.9
342,Female,Some College,Free/Reduced,Not Completed,5.4,93.9,85.3,82.0,86.0
343,Male,High School,Free/Reduced,Completed,5.7,100.0,83.6,88.0,83.9
344,Female,High School,Standard,Completed,6.0,88.5,94.1,99.3,86.5
345,Male,Bachelor's,Standard,Not Completed,6.3,95.8,100.0,97.8,97.5
